0                                                                                                                                                                                                                                                                                                                    {\n"emotions": ["confusion", "neutral"]\n}           0          0      0          0         0       0          1          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
1                                                                                                                                                                                                                                                                                                                                           {"curiosity": null}           0          0      0          0         0       0          0          1       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
2                                                                                                                                                                                                                                                                                                                                                {"neutral": 1}           0          0      0          0         0       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
3                                                                                                                                                                                                                                                                                                                                        {"emotion": "neutral"}           0          0      0          0         0       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
4                                                                                                                                                                                                                                                                                                                                               {"approval": 1}           0          0      0          0         1       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
5                                                                                                                                                                                                                                                                                                                                             {"neutral": null}           0          0      0          0         0       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
6                                                                                                                                                                                                                                                                                                                                              {"approval": []}           0          0      0          0         1       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
7                                                                                                                                                                                                                                                                                                                                           {"disapproval" : 1}           0          0      0          0         1       0          0          0       0               0            1        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
8                                                                                                                                                                                                                                                                                                                                             {"neutral": null}           0          0      0          0         0       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
9                                                                                                                                                                                                                                                                                                          {"optimism": true, "approval": true, "caring": true}           0          0      0          0         1       1          0          0       0               0            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        0  1
10                                                                                                                                                                                                                                                                                                                                            {"neutral": true}           0          0      0          0         0       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
11                                                                                                                                                                                                                                                                                                                                        {"disapproval" : "1"}           0          0      0          0         1       0          0          0       0               0            1        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
12                                                                                                                                                                                                                                                                                                                                                {"neutral":1}           0          0      0          0         0       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
13                                                                                                                                                                                                                                                                                                                                               {"approval":1}           0          0      0          0         1       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
14                                                                                                                                                                                                                                                                                                                             {"disappointment":1,"concern":1}           0          0      0          0         0       0          0          0       0               1            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
15                                                                                                                                                                                                                                                                                                                                            {"neutral": null}           0          0      0          0         0       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
16                                                                                                                                                                                                                                                                                                                                            {"optimism":null}           0          0      0          0         0       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        0  1
17                                                                                                                                                                                                                                                                                                                                                {"neutral":1}           0          0      0          0         0       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
18                                                                                                                                                                                                                                                                                                                                          {"disapproval" : 1}           0          0      0          0         1       0          0          0       0               0            1        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
19                                                                                                                                                                                                                                                                                                                                            {"neutral": true}           0          0      0          0         0       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
20                                                                                                                                                                                                                                                                                                                         {"anger": true, "disapproval": true}           0          0      1          0         1       0          0          0       0               0            1        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
21                                                                                                                                                                                                                                                                                                                                           {"approval": null}           0          0      0          0         1       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
22                                                                                                                                                                                                                                                                                                                                               {"approval":1}           0          0      0          0         1       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
23  {"anger":0,"amusement":0,"annoyance":1,"approval":0,"caring":0,"confusion":0,"curiosity":0,"desire":0,"disappointment":0,"disapproval":1,"disgust":0,"embarrassment":0,"excitement":0,"fear":0,"gratitude":0,"grief":0,"joy":0,"love":0,"nervousness":0,"optimism":0,"pride":0,"realization":0,"relief":0,"remorse":0,"sadness":0,"surprise":1,"neutral":0}           0          0      0          1         0       0          0          0       0               0            1        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  0
24                                                                                                                                                                                                                                                                                                                                            {"neutral": true}           0          0      0          0         0       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
25                                                                                                                                                                                                                                                                                                                                                {"neutral":1}           0          0      0          0         0       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
