0               {\n"Emotions": ["disappointment", "annoyance", "curiosity"]\n}           0          0      0          1         0       0          0          1       0               1            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
1                           {"Emotions": ["confusion", "caring", "curiosity"]}           0          0      0          0         0       1          1          1       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
2                {\n"Emotions": [\n"approval",\n"curiosity",\n"optimism"\n]\n}           0          0      0          0         1       0          0          1       0               0            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        0  1
3                             {"Emotions": ["approval", "optimism", "caring"]}           0          0      0          0         1       1          0          0       0               0            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        0  1
5                                {"Emotions": ["confusion", "disappointment"]}           0          0      0          0         0       0          1          0       0               1            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
6                             {"Emotions": ["approval", "caring", "optimism"]}           0          0      0          0         1       1          0          0       0               0            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        0  1
7                          {"Emotions": ["disapproval", "annoyance", "anger"]}           0          0      1          1         1       0          0          0       0               0            1        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
8                      {\n"Emotions": ["approval", "optimism", "curiosity"]\n}           0          0      0          0         1       0          0          1       0               0            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        0  1
9                       {\n  "Emotions": ["optimism", "desire", "approval"]\n}           0          0      0          0         1       0          0          0       1               0            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        0  1
10                     {\n"Emotions": [\n    "approval",\n    "optimism"\n]\n}           0          0      0          0         1       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        0  1
11                                    {"Emotions": ["neutral", "disapproval"]}           0          0      0          0         1       0          0          0       0               0            1        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
12                         { "Emotions": ["approval", "caring", "optimism" ] }           0          0      0          0         1       1          0          0       0               0            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        0  1
13                                       {"Emotions": ["neutral", "optimism"]}           0          0      0          0         0       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        1  1
14                              {"Emotions": ["approval", "desire", "caring"]}           0          0      0          0         1       1          0          0       1               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
15                        {"Emotions": ["approval", "optimism", "neutrality"]}           0          0      0          0         1       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        1  1
16                            {"Emotions": ["approval", "optimism", "caring"]}           0          0      0          0         1       1          0          0       0               0            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        0  1
17                                      {"Emotions": ["approval", "optimism"]}           0          0      0          0         1       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        0  1
18                           {"Emotions": ["disapproval", "anger", "disgust"]}           0          0      1          0         1       0          0          0       0               0            1        1              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
19                    {"Emotions": ["curiosity", "disappointment", "neutral"]}           0          0      0          0         0       0          0          1       0               1            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
20                         {"Emotions": ["approval", "desire", "disapproval"]}           0          0      0          0         1       0          0          0       1               0            1        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
21                       { "Emotions": ["approval", "optimism", "neutrals" ] }           0          0      0          0         1       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        1  1
22                                       {"Emotions": ["approval", "control"]}           0          0      0          0         1       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
23                                  {\n"emotions": ["anger", "disapproval"]\n}           0          0      1          0         1       0          0          0       0               0            1        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
24                             {"Emotions": ["approval", "desire", "neutral"]}           0          0      0          0         1       0          0          0       1               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
25                  {\n"Emotions": [\n"approval",\n"desire",\n"optimism"\n]\n}           0          0      0          0         1       0          0          0       1               0            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        0  1
26                              {"Emotions": ["approval", "desire", "caring"]}           0          0      0          0         1       1          0          0       1               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
27                           {"Emotions": ["disapproval", "anger", "neutral"]}           0          0      1          0         1       0          0          0       0               0            1        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
28                    {"Emotions": ["disapproval", "disappointment", "anger"]}           0          0      1          0         1       0          0          0       0               1            1        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
29                            {"Emotions": ["approval", "optimism", "caring"]}           0          0      0          0         1       1          0          0       0               0            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        0  1
30  {\n  "Emotions": [\n    "approval",\n    "desire",\n    "optimism"\n  ]\n}           0          0      0          0         1       0          0          0       1               0            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        0  1
31                                  {\n"Emotions": ["approval", "optimism"]\n}           0          0      0          0         1       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        0  1
32                        {\n"emotions": ["approval", "caring", "optimism"]\n}           0          0      0          0         1       1          0          0       0               0            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        0  1
33                             {\n"Emotions": [\n"approval",\n"optimism"\n]\n}           0          0      0          0         1       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        0  1
34                              {"Emotions": ["approval", "caring", "desire"]}           0          0      0          0         1       1          0          0       1               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
35                              {"Emotions": ["approval", "desire", "caring"]}           0          0      0          0         1       1          0          0       1               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
36                            {"Emotions": ["approval", "caring", "optimism"]}           0          0      0          0         1       1          0          0       0               0            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        0  1
37                    {"Emotions": ["neutrality", "disapproval", "curiosity"]}           0          0      0          0         1       0          0          1       0               0            1        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
38                            {"Emotions": ["optimism", "desire", "approval"]}           0          0      0          0         1       0          0          0       1               0            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        0  1
39                          { "Emotions": ["approval", "desire", "optimism"] }           0          0      0          0         1       0          0          0       1               0            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        0  1
40                             {"Emotions": ["neutral", "caring", "optimism"]}           0          0      0          0         0       1          0          0       0               0            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        1  1
41                        {"Emotions": ["approval", "disapproval", "neutral"]}           0          0      0          0         1       0          0          0       0               0            1        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
42                                      {"Emotions": ["optimism", "approval"]}           0          0      0          0         1       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        0  1
43                       {"Emotions": ["annoyance", "disapproval", "neutral"]}           0          0      0          1         1       0          0          0       0               0            1        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
44                            {"Emotions": ["desire", "curiosity", "neutral"]}           0          0      0          0         0       0          0          1       1               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
45                            {"Emotions": ["approval", "desire", "optimism"]}           0          0      0          0         1       0          0          0       1               0            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        0  1
46                          {"Emotions": ["approval", "desire", "neutrality"]}           0          0      0          0         1       0          0          0       1               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
47                            {"Emotions": ["approval", "caring", "optimism"]}           0          0      0          0         1       1          0          0       0               0            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        0  1
48                             {"Emotions": ["neutral", "curiosity", "pride"]}           0          0      0          0         0       0          0          1       0               0            0        0              0           0     0          0      0    0     0            0         0      1            0       0        0        0        0        1  1
49                            {"Emotions": ["approval", "desire", "optimism"]}           0          0      0          0         1       0          0          0       1               0            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        0  1
