0                                            {\n  "emotions": ["approval", "admiration"]\n}           1          0      0          0         1       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
1                                                                          {"neutral": 0.8}           0          0      0          0         0       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
2                                                                       {"neutrality": 0.9}           0          0      0          0         0       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
3                                                               {\n"emotion": "approval"\n}           0          0      0          0         1       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
4                                                {"approval": 1, "caring": 1, "neutral": 2}           0          0      0          0         1       1          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
5                                                            {\n  "emotion": ["neutral"]\n}           0          0      0          0         0       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
6                                                                            {"anger": 0.5}           0          0      1          0         0       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
7                                                                      {\n  "anger": 0.9\n}           0          0      1          0         0       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
8                                                 {\n"admiration": 0.8,\n"approval": 0.4\n}           1          0      0          0         1       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
9                                {\n"admiration": 0.5,\n"approval": 0.3,\n"neutral": 0.2\n}           1          0      0          0         1       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
10                                                                            {"neutral":1}           0          0      0          0         0       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
11                                                                           {"anger": 0.5}           0          0      1          0         0       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
12                                                        {"anger": 0.25, "approval": 0.75}           0          0      1          0         1       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
13                                                              {\n"emotion": "approval"\n}           0          0      0          0         1       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
14                                                                   {"emotion": "neutral"}           0          0      0          0         0       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
15                                                                   {"emotion": "neutral"}           0          0      0          0         0       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
16                                                                           {"caring":0.5}           0          0      0          0         0       1          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
17                                                                        {"admiration": 1}           1          0      0          0         0       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
18                                                      {\n"anger": 1,\n"disapproval": 1\n}           0          0      1          0         1       0          0          0       0               0            1        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
