0                                                                               {"anger":0.5, "disapproval":0.3}           0          0      1          0         1       0          0          0       0               0            1        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
1                                                                                  {\n"confusion"\n:"neutral"\n}           0          0      0          0         0       0          1          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
2                                                                                 {"anger":0.5, "curiosity":0.4}           0          0      1          0         0       0          0          1       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
3                                                                     {\n  "emotions": [\n    "approval"\n  ]\n}           0          0      0          0         1       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
4                                                                                  {\n  "emotion": "approval"\n}           0          0      0          0         1       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
5                                                                                                 {"anger": 0.5}           0          0      1          0         0       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
6                                                                        {\n"anger": 0.5,\n"disapproval": 0.5\n}           0          0      1          0         1       0          0          0       0               0            1        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
7                                                                                                 {"anger": 0.5}           0          0      1          0         0       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
8                                                                              {"admiration":0.5,"approval":0.4}           1          0      0          0         1       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
9                                       {\n    "admiration": 0.8,\n    "approval": 0.4,\n    "gratitude": 0.3\n}           1          0      0          0         1       0          0          0       0               0            0        0              0           0     0          1      0    0     0            0         0      0            0       0        0        0        0        0  1
10                                                                                   {"anger":0.5,"neutral":0.5}           0          0      1          0         0       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
11                                                                                                {"anger": 0.5}           0          0      1          0         0       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
12                                                                          {"emotions": ["approval", "caring"]}           0          0      0          0         1       1          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
