0                                                                                                                                                                                                                                                                                                                                                                                                            {\n  "emotion": [\n    "neutral"\n  ]\n}           0          0      0          0         0       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
1                                                                                                                                                                                                                                                                                                                                                                                                           {\n  "emotions": ["neutral", "caring"]\n}           0          0      0          0         0       1          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
2                                                                                                                                                                                                                                                                 {"neutrals": ["Given the installation of wind turbines in IJsselmeer, it would increase the effectiveness of this form of energy generation if efficient storage can take place."]}           0          0      0          0         0       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
3                                                                                                                                                                                                                                                                                                                                                                                                                                  {"admiration":0.5}           1          0      0          0         0       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
4                                                                                                                                                                                                                                                                                                                                                                                                       {\n  "admiration": 0.5,\n  "approval": 0.7\n}           1          0      0          0         1       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
5                                                                                                                                                                                                                                                                                                                                                                                                                  {"anger": 0.5, "disapproval": 0.5}           0          0      1          0         1       0          0          0       0               0            1        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
6                                                                                                                                                                                                                                                                                                                                                                                         {\n  "anger": 0.5,\n  "approval": 0.3,\n  "neutral": 0.2\n}           0          0      1          0         1       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
7                                                                                                                                                                                                                                                                                                                                                                                                    {\n  "emotions": ["disapproval", "annoyance"]\n}           0          0      0          1         1       0          0          0       0               0            1        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
8                                                                                                                                                                                                                                                                                                                                                                                                       {\n  "admiration": 0.5,\n  "approval": 0.8\n}           1          0      0          0         1       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
9                                                                                                                                                                                                                                                                                                                                                                                                       {\n    "admiration": 1,\n    "approval": 2\n}           1          0      0          0         1       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
10                                                                                                                                                                                                                                                                                                                                                                                                                         {\n"emotion": "neutral"\n}           0          0      0          0         0       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
11                                                                                                                                                                                                                                                                                                                                                                                                                                       {"anger": 1}           0          0      1          0         0       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
12                                                                                                                                                                                                                                                                                                                                                                                                      {\n"emotions": [\n"approval",\n"caring"\n]\n}           0          0      0          0         1       1          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
13                                                                                                                                                                                                                                                                                                                                                                                                                             {"emotion": "neutral"}           0          0      0          0         0       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
14                                                                                                                                                                                                                                                                                                                                                                                                     {\n  "emotions": ["approval", "admiration"]\n}           1          0      0          0         1       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
15                                                                                                                                                                                                                                                                                                                                                                                                                     {"anger": 0.5, "neutral": 0.5}           0          0      1          0         0       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
16                                                                                                                                                                                                                                                                                                                                                                                                               {"emotions": ["approval", "caring"]}           0          0      0          0         1       1          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
17                                                                                                                                                                                                                                                                                                                                                                                                                                {"admiration": 0.5}           1          0      0          0         0       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
18                                                                                                                                                                                                                                                                                                                                                                                                        {\n  "emotion": ["disapproval", "anger"]\n}           0          0      1          0         1       0          0          0       0               0            1        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
19                                                                                                                                                                                                                                                                                                                                                {\n    "emotions": [\n        "curiosity",\n        "disappointment",\n        "approval"\n    ]\n}           0          0      0          0         1       0          0          1       0               1            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
20                                                                                                                                                                                                                                                                                                                                                                                                  {"emotion": ["approval", "disapproval", "anger"]}           0          0      1          0         1       0          0          0       0               0            1        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
21                                                                                                                                                                                                                                                                                                                                                                                                                                 {"admiration":0.5}           1          0      0          0         0       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
22                                                                                                                                                                                                                                                                                                                                                                                                                                     {"anger": 0.5}           0          0      1          0         0       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
23                                                                                                                                                                                                                                                                                                                                                                                                                                     {"anger": 0.8}           0          0      1          0         0       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
24                                                                                                                                                                                                                                                                                                                                                                                                            {"emotions": ["approval", "curiosity"]}           0          0      0          0         1       0          0          1       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
25                                                                                                                                                                                                                                                                                                                                                                                                                      {\n"emotions": ["neutral"]\n}           0          0      0          0         0       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
26                                                                                                                                                                                                                                                                                                                                                                                                                    {"anger": 0.5, "approval": 0.5}           0          0      1          0         1       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
27                                                                                                                                                                                                                                                                                                                                                                                     {\n  "anger": 0.5,\n  "disapproval": 0.3,\n  "neutral": 0.2\n}           0          0      1          0         1       0          0          0       0               0            1        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
28                                                                                                                                                                                                                                                                                                                                                                                                                                       {"anger": 1}           0          0      1          0         0       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
29                                                                                                                                                                                                                                                                                                                                                                                                                          {\n  "admiration": 0.8\n}           1          0      0          0         0       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
30                                                                                                                                                                                                                                                                                                                                                                                                                                 {"admiration":0.5}           1          0      0          0         0       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
31  {\n"approval": 1,\n"admiration": 0,\n"amusement": 0,\n"anger": 0,\n"annoyance": 0,\n"caring": 0,\n"confusion": 0,\n"curiosity": 0,\n"desire": 0,\n"disappointment": 0,\n"disapproval": 0,\n"disgust": 0,\n"embarrassment": 0,\n"excitement": 0,\n"fear": 0,\n"gratitude": 0,\n"grief": 0,\n"joy": 0,\n"love": 0,\n"nervousness": 0,\n"optimism": 0,\n"pride": 0,\n"realization": 0,\n"relief": 1,\n"remorse": 0,\n"sadness": 0,\n"surprise": 0\n}           1          1      1          1         1       1          1          1       1               1            1        1              1           1     1          1      1    1     1            1         1      1            1       1        1        1        0        0  1
32                                                                                                                                                                                                                                                                                                                                                                                                                                      {"neutral":1}           0          0      0          0         0       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
