0                               {"emotion": ["neutrality"]}           0          0      0          0         0       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
1   {"Emotions": ["caring", "confusion", "disappointment"]}           0          0      0          0         0       1          1          0       0               1            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
2                   {"Emotions": ["approval", "curiosity"]}           0          0      0          0         1       0          0          1       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
3                      {"Emotions": ["approval", "caring"]}           0          0      0          0         1       1          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
5                              {"Emotions": ["neutrality"]}           0          0      0          0         0       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
7       {"Emotions": ["anger", "disapproval", "annoyance"]}           0          0      1          1         1       0          0          0       0               0            1        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
8          {"emotions": ["approval", "caring", "optimism"]}           0          0      0          0         1       1          0          0       0               0            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        0  1
9          {"Emotions": ["approval", "caring", "optimism"]}           0          0      0          0         1       1          0          0       0               0            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        0  1
10                    {"Emotions": ["approval", "neutral"]}           0          0      0          0         1       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
11               {"Emotions": ["annoyance", "disapproval"]}           0          0      0          1         1       0          0          0       0               0            1        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
12                     {"Emotions": ["approval", "caring"]}           0          0      0          0         1       1          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
13                 {"Emotions": ["approval", "neutrality"]}           0          0      0          0         1       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
14                   {"Emotions": ["approval", "optimism"]}           0          0      0          0         1       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        0  1
15                    {"Emotions": ["approval", "neutral"]}           0          0      0          0         1       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
