0                                                                                                                                                                       { \n  "Annotator 1": [null], \n  "Annotator 2": [null], \n  "Annotator 3": [null], \n  "Annotator 4": [null], \n  "Annotator 5": [null] \n}  { \n  "                                 1": [null], \n  "                                        2": [null], \n  "                                          3": [null], \n  "                                              4": [null], \n  "                                       5": [null] \n}
1                                              {\n  "Annotator 1": ["approval", "curiosity"],\n  "Annotator 2": ["caring", "approval"],\n  "Annotator 3": ["confusion", "curiosity"],\n  "Annotator 4": ["annoyance", "disappointment", "neutral"],\n  "Annotator 5": ["nervousness", "optimism", "realization"]\n}   {\n  "               1": ["approval", "curiosity"],\n  "                         2": ["caring", "approval"],\n  "                       3": ["confusion", "curiosity"],\n  "           4": ["annoyance", "disappointment", "neutral"],\n  "    5": ["nervousness", "optimism", "realization"]\n}
2                                                                                                            { "Annotator 1": ["approval", "curiosity"], "Annotator 2": ["approval"], "Annotator 3": ["approval", "curiosity", "optimism"], "Annotator 4": ["neutral"], "Annotator 5": ["approval", "excitement"] }      { "                  1": ["approval", "curiosity"], "                                      2": ["approval"], "               3": ["approval", "curiosity", "optimism"], "                                             4": ["neutral"], "                     5": ["approval", "excitement"] }
3                                                                                                                                  { "Annotator 1": ["approval", "caring"], "Annotator 2": ["approval"], "Annotator 3": ["optimism", "approval"], "Annotator 4": ["neutral"], "Annotator 5": ["approval", "care"] }      { "                     1": ["approval", "caring"], "                                      2": ["approval"], "                            3": ["optimism", "approval"], "                                             4": ["neutral"], "                           5": ["approval", "care"] }
5                                                                                                          { "Annotator 1": ["confusion", "curiosity"], "Annotator 2": ["approval", "curiosity"], "Annotator 3": ["optimism", "curiosity"], "Annotator 4": ["realization", "neutral"], "Annotator 5": ["neutral"] }      { "                 1": ["confusion", "curiosity"], "                         2": ["approval", "curiosity"], "                           3": ["optimism", "curiosity"], "                              4": ["realization", "neutral"], "                                    5": ["neutral"] }
7                                            {\n"Annotator 1": ["disapproval", "anger"],\n"Annotator 2": ["annoyance", "disappointment", "disapproval"],\n"Annotator 3": ["anger", "annoyance", "disapproval"],\n"Annotator 4": ["fear", "nervousness", "disapproval"],\n"Annotator 5": ["anger", "disapproval"]\n}     {\n"                  1": ["disapproval", "anger"],\n"   2": ["annoyance", "disappointment", "disapproval"],\n"              3": ["anger", "annoyance", "disapproval"],\n"                 4": ["fear", "nervousness", "disapproval"],\n"                      5": ["anger", "disapproval"]\n}
8                                                                   { "Annotator 1": ["caring", "approval"], "Annotator 2": ["curiosity", "approval"], "Annotator 3": ["approval", "optimism", "gratitude"], "Annotator 4": ["nervousness", "pride", "approval"], "Annotator 5": ["approval", "caring", "relief"] }      { "                     1": ["caring", "approval"], "                         2": ["curiosity", "approval"], "               3": ["approval", "optimism", "gratitude"], "                    4": ["nervousness", "pride", "approval"], "               5": ["approval", "caring", "relief"] }
9                          { "Annotator 1": ["approval", "caring", "optimism"], \n"Annotator 2": ["approval", "curiosity", "optimism"],\n"Annotator 3": ["approval", "pride", "gratitude"],\n"Annotator 4": ["annoyance", "disappointment", "fear"],\n"Annotator 5": ["approval", "caring", "relief", "optimism"] }      { "       1": ["approval", "caring", "optimism"], \n"            2": ["approval", "curiosity", "optimism"],\n"                 3": ["approval", "pride", "gratitude"],\n"                4": ["annoyance", "disappointment", "fear"],\n"   5": ["approval", "caring", "relief", "optimism"] }
10                                                                                               { "Annotator 1": ["approval", "caring"], "Annotator 2": ["approval", "curiosity"], "Annotator 3": ["caring", "optimism"], "Annotator 4": ["approval", "caring", "relief"], "Annotator 5": ["approval", "caring"] }      { "                     1": ["approval", "caring"], "                         2": ["approval", "curiosity"], "                              3": ["caring", "optimism"], "                        4": ["approval", "caring", "relief"], "                         5": ["approval", "caring"] }
11                                                                                        { "Annotator 1": [ "approval", "annoyance" ], "Annotator 2": [ "disapproval" ], "Annotator 3": [ "approval", "neutral" ], "Annotator 4": [ "anger", "disapproval" ], "Annotator 5": [ "disappointment", "disapproval" ] }      { "                1": [ "approval", "annoyance" ], "                                 2": [ "disapproval" ], "                           3": [ "approval", "neutral" ], "                              4": [ "anger", "disapproval" ], "            5": [ "disappointment", "disapproval" ] }
12                                                                                                                                 { "Annotator 1": ["approval", "caring"], "Annotator 2": ["approval"], "Annotator 3": ["neutral"], "Annotator 4": ["optimism", "caring"], "Annotator 5": ["approval", "relief"] }      { "                     1": ["approval", "caring"], "                                      2": ["approval"], "                                         3": ["neutral"], "                                  4": ["optimism", "caring"], "                         5": ["approval", "relief"] }
13                                                                                                                                                                                                                                                            { "Annotator 1": ["approval", "desire", "optimism"] }      { "          1": ["approval", "desire", "optimism"] }                                                     None                                                       None                                                           None                                                 None
